source,title_words,title_is_question,words,read_min,paras,para_median_words,para_p90_words,lead_words,h2,h3,heads,words_per_section,head_question_pct,head_median_words,code_blocks,tables,images,lists,list_items,quotes,links_per_1kw,nums_per_100w,nums_in_lead_150,nums_per_100w_body,wps_median,wps_p90,pct_sent_over_30,pct_sent_under_12,we_per_1kw,you_per_1kw,i_per_1kw,emdash_per_1kw,has_code,has_chart
anthropic,4,False,257,1.1,7,29,81,22,1,3,4,51,0,6.0,0,0,1,1,6,0,27.2,0.0,0,0.0,24,32,18.2,9.1,58.4,7.8,0.0,7.8,False,True
anthropic,3,False,824,3.6,8,98.0,199,199,1,3,4,165,0,6.0,0,0,8,1,5,0,12.1,2.43,7,1.93,29,47,44.4,0.0,38.8,2.4,1.2,3.6,False,True
anthropic,8,False,582,2.5,9,65,107,99,1,7,8,65,0,6.0,0,0,7,1,2,0,18.9,1.72,5,1.16,24,36,20.0,8.0,44.7,1.7,0.0,0.0,False,True
anthropic,3,False,313,1.4,6,52.5,76,44,1,3,4,63,0,6.0,0,0,1,0,0,0,16.0,0.32,1,0.0,23.0,31,14.3,7.1,19.2,0.0,3.2,6.4,False,True
anthropic,7,False,1764,7.7,27,60,118,87,5,1,6,252,0,3.5,0,0,2,0,0,0,0.6,2.66,3,2.73,20,30,9.2,16.1,11.3,0.6,0.0,7.4,False,True
anthropic,10,False,945,4.1,7,89,311,221,3,3,6,135,0,5.5,0,0,4,1,5,0,14.8,0.85,2,0.75,28.5,66,42.9,0.0,29.6,1.1,0.0,2.1,False,True
anthropic,11,False,366,1.6,10,36.0,56,25,1,6,7,46,0,6,0,0,1,0,0,0,27.3,0.55,1,0.46,22.0,43,18.8,18.8,8.2,0.0,0.0,0.0,False,True
anthropic,4,False,538,2.3,13,36,74,13,4,3,7,67,0,2,0,0,14,2,8,8,31.6,5.95,8,6.19,17.0,29,7.1,21.4,24.2,9.3,0.0,7.4,False,True
anthropic,2,False,985,4.3,16,49.5,103,49,2,3,5,164,0,6,0,0,7,0,0,0,16.2,0.1,0,0.12,23.5,42,28.9,10.5,45.7,6.1,2.0,0.0,False,True
anthropic,4,False,2535,11.0,56,44.0,79,24,4,6,10,230,0,3.5,0,0,4,1,6,0,5.1,1.81,5,1.72,17,30,9.4,23.0,21.7,2.8,22.1,3.9,False,True
anthropic,3,False,1571,6.8,40,38.5,68,46,6,5,11,131,0,3,2,0,12,6,25,0,8.9,1.65,1,1.76,18,35,13.0,13.0,18.5,11.5,0.0,1.3,True,True
anthropic,5,False,1010,4.4,25,29,80,39,7,4,11,84,0,4,0,0,8,3,12,6,27.7,0.79,2,0.7,20.0,39,22.7,6.8,15.8,5.9,0.0,9.9,False,True
anthropic,12,False,1054,4.6,20,55.0,100,70,4,3,7,132,0,4,0,0,1,0,0,0,6.6,0.19,2,0.0,15.0,34,12.1,29.3,33.2,1.9,13.3,12.3,False,True
anthropic,13,False,461,2.0,6,58.0,198,61,1,3,4,92,0,6.0,0,0,2,0,0,0,13.0,0.43,1,0.32,29.5,39,31.2,6.2,52.1,4.3,2.2,2.2,False,True
anthropic,5,False,576,2.5,14,38.5,64,34,6,3,9,58,0,5,0,0,17,2,13,12,31.2,0.87,2,0.7,17.0,34,17.9,17.9,24.3,5.2,0.0,0.0,False,True
